# Hubbard model DMRG. L=12, N=12, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance, <a_i> [calculated 2025-02-11T17:29:05.045 @site  i=6]
0.22105263157894736, 0.24210526315789474, -4.8920006656359964, 0.2986266654701517, 0.10592294115333889 # MI
0.22105263157894736, 0.2894736842105263, -5.450696442459132, 0.3279158755773901, 0.4276825441457516 # MI
0.22105263157894736, 0.3368421052631579, -6.0556590796403755, 0.3476468727284421, -0.07379513384041592 # MI
0.22105263157894736, 0.38421052631578945, -6.663619851576744, 0.366428253835003, 0.2564033920374265 # MI
0.22105263157894736, 0.43157894736842106, -7.326010637260586, 0.3700106345019134, -0.1415250615911385 # MI
0.22105263157894736, 0.4789473684210526, -7.990290102971759, 0.3745361965479468, 0.2711952419070753 # MI
0.22105263157894736, 0.5263157894736842, -8.69963489257639, 0.4012118429944742, -0.32746068439660625 # MI
0.22105263157894736, 0.5736842105263158, -9.436075248321135, 0.41286625422723633, -0.3657290553580173 # MI
0.22105263157894736, 0.6210526315789474, -10.196300406822832, 0.4207497000238003, -0.4083357945398127 # MI
0.22105263157894736, 0.6684210526315789, -10.996256033634687, 0.4333975828911032, -4.759903860560856e-7 # SF
0.22105263157894736, 0.7157894736842105, -11.812714624510404, 0.44867452341768965, 0.00123504643950092 # SF
0.22105263157894736, 0.7631578947368421, -12.665346229357915, 0.44867452124249674, 6.734225746083726e-5 # SF
0.22105263157894736, 0.8105263157894737, -13.547362064198076, 0.4615688498399111, 7.236617771686657e-8 # SF
0.22105263157894736, 0.8578947368421053, -14.44731452411575, 0.46696194839470806, -0.5325469165142599 # SF
